Visit,Run,Run End,Run Start,Run Duration,Transit Duration,Avg Run Duration,Avg Transit Duration
1,1,0:00:27,0:06:42,0:00:27,0:06:15,0:00:28,0:05:12
,2,0:07:10,0:13:53,0:00:28,0:06:43,,
,3,0:14:20,0:18:56,0:00:27,0:04:36,,
,4,0:19:24,0:24:11,0:00:28,0:04:47,,
,5,0:24:38,0:28:38,0:00:27,0:04:00,,
,6,0:29:05,0:34:11,0:00:27,0:05:06,,
,7,0:34:39,0:40:41,0:00:28,0:06:02,,
,8,0:41:09,0:45:14,0:00:28,0:04:05,,
,9,0:45:42,,0:00:28,,,
2,1,0:00:12,0:04:46,0:00:12,0:04:34,0:00:13,0:04:10
,2,0:04:58,0:09:06,0:00:12,0:04:08,,
,3,0:09:19,0:13:35,0:00:13,0:04:16,,
,4,0:13:48,0:17:50,0:00:13,0:04:02,,
,5,0:18:04,0:21:54,0:00:14,0:03:50,,
,6,0:22:07,0:26:19,0:00:13,0:04:12,,
,7,0:26:32,,0:00:13,,,
3,1,0:00:13,0:05:14,0:00:13,0:05:01,0:00:13,0:04:45
,2,0:05:27,0:09:52,0:00:13,0:04:25,,
,3,0:10:05,0:14:45,0:00:13,0:04:40,,
,4,0:14:58,0:20:42,0:00:13,0:05:44,,
,5,0:20:55,0:25:14,0:00:13,0:04:19,,
,6,0:25:26,0:30:15,0:00:12,0:04:49,,
,7,0:30:27,0:34:38,0:00:12,0:04:11,,
,8,0:34:50,0:40:22,0:00:12,0:05:32,,
,9,0:40:34,0:45:01,0:00:12,0:04:27,,
,10,0:45:13,0:49:28,0:00:12,0:04:15,,
,11,0:49:41,0:54:31,0:00:13,0:04:50,,
,12,0:54:44,,0:00:13,,,
4,1,0:00:13,0:05:23,0:00:13,0:05:10,0:00:13,0:05:11
,2,0:05:37,0:10:30,0:00:14,0:04:53,,
,3,0:10:42,0:15:23,0:00:12,0:04:41,,
,4,0:15:36,0:20:18,0:00:13,0:04:42,,
,5,0:20:30,0:25:20,0:00:12,0:04:50,,
,6,0:25:33,0:32:25,0:00:13,0:06:52,,
,7,0:32:38,,0:00:13,,,