Visit,Run,Run Start,Brake Start,Run End,Run to Brake Duration,Brake Swing Duration,Transit Duration,Avg Run Duration,Avg Transit Duration
Start Time,,,0.01117188,,,,,,
EST Start Time Head,,0.00141343,0.00975845,,,,,,
EST Start Time Neck,,0.00123819,0.00993368,,,,,,
EST Start Time Shoulder,,0.00165694,0.00951493,,,0.00016389,,,
EST Start Time Heart,,0.00165799,0.00951389,,,0.00015197,,,
EST Start Time COM,,0.00151840,0.00965347,,,0.00001192,,,
4,1,0.01117188,0.01132384,0.01133576,0.00015197,0.00001192,0.00356620,0.00014902,0.00360004
4,2,0.01489005,0.01505208,0.01507396,0.00016204,0.00002188,0.00339190,,
4,3,0.01844398,0.01858287,0.01859479,0.00013889,0.00001192,0.00325289,,
4,4,0.02183576,0.02198623,0.02199815,0.00015046,0.00001192,0.00326447,,
4,5,0.02525069,0.02538958,0.02540150,0.00013889,0.00001192,0.00335475,,
4,6,0.02874433,0.02889479,0.02890671,0.00015046,0.00001192,0.00477002,,
4,7,0.03366481,0.03381528,0.03382720,0.00015046,0.00001192,,,